 #(dyne/cm2) (K)          (cm2/s)
 Pressure        Temp     Kzz
   319.30348126065616        320.00839234794637        1000000000.0000000     
   268.45106149294969        320.00648489834913        1000000000.0000000     
   225.69758083894268        320.00507984344262        1000000000.0000000     
   189.75317230369413        320.00404486095664        1000000000.0000000     
   159.53339788009373        320.00328247920601        1000000000.0000000     
   134.12653116853701        320.00272089869515        1000000000.0000000     
   112.76605068758806        320.00230723080176        1000000000.0000000     
   94.807514001711752        320.00200251705024        1000000000.0000000     
   79.709114960947190        320.00177806016438        1000000000.0000000     
   67.015337466495424        320.00161272142191        1000000000.0000000     
   56.343212598051096        320.00149092981718        1000000000.0000000     
   47.370764481859467        320.00140121559281        1000000000.0000000     
   39.827296312556712        320.00133513000344        1000000000.0000000     
   33.485223459095963        320.00128644962194        1000000000.0000000     
